codigo,capitulo_codigo,descripcion,unidad,valor_unitario,orden
1.01,1,Acarreo (trasiego) horizontal manual,m3,15171.0,1
1.02,1,"Acondicionamiento de acceso provisional a la obra con recebo (afirmado), espesor promedio 0.25 m. Incluye mantenimiento durante el período de construcción.",m3,193853.0,2
1.03,1,Alquiler de baño portátil de polietileno x 1 Und,Mes,964586.0,3
1.04,1,Alquiler de baño portátil de polietileno x 2 Und,Mes,1896200.0,4
1.05,1,Alquiler de campamento contenedor 6.10 x 2.44 m,Mes,1591773.0,5
1.06,1,Alquiler de campamento contenedor 12.20 x 2.44 m,Mes,3009152.0,6
1.07,1,Alumbrado provisional,Un,116084.0,7
1.08,1,Apuntalado provisional en madera de estructuras,m2,62094.0,8
1.09,1,Baño provisional en obra de 4 m²,Un,2125427.0,9
1.10,1,"Campamento de 9 m² en tabla, teja de Eternit, piso",Un,2074174.0,10
1.11,1,"Campamento de 9 m² esterilla, teja de zinc, piso",Un,1548513.0,11
1.12,1,"Campamento de 18 m² en tabla, teja de Eternit, piso",Un,4214547.0,12
1.13,1,"Campamento de 18 m² esterilla, teja de zinc, piso",Un,3010634.0,13
1.14,1,"Campamento de 27 m² en tabla, teja de Eternit, piso",Un,6288721.0,14
1.15,1,"Campamento de 27 m² esterilla, teja de zinc, piso",Un,4557878.0,15
1.16,1,Cancelación punto hidráulico,Un,25119.0,16
1.17,1,Cancelación punto sanitario,Un,48697.0,17
1.18,1,Cargue manual y retiro de escombros en camioneta,m3,331250.0,18
1.19,1,Cargue manual y retiro de escombros en volqueta,m3,62666.0,19
1.20,1,Cargue mecánico y retiro de escombros,m3,57273.0,20
1.21,1,Cerramiento en guadua y esterilla,m2,28935.0,21
1.22,1,"Cerramiento en guadua y tabla, h= 2 m",m,34235.0,22
1.23,1,"Cerramiento provisional con postes de señalización vial y cinta de seguridad, h= 1.25 m",m,8215.0,23
1.24,1,"Cerramiento provisional con postes de señalización en madera y cinta de seguridad, h= 1.25 m",m,8425.0,24
1.25,1,"Cerramiento provisional en drywall de 1/2"" (1F)",m2,47874.0,25
1.26,1,Cerramiento provisional en guadua y lámina de zinc,m2,30232.0,26
1.27,1,"Cerramiento provisional en guadua y lámina de zinc, h= 2.10 m",m,63555.0,27
1.28,1,Cerramiento provisional en guadua y polisombra blanca,m2,18802.0,28
1.29,1,Cerramiento provisional en guadua y polisombra verde,m2,18475.0,29
1.30,1,"Cerramiento provisional en guadua y polisombra verde, h= 2.10 m",m,38923.0,30
1.31,1,Cinta de señalización a= 7 cm,m,2154.0,31
1.32,1,Corte con disco de pavimento en concreto hasta 5 cm,m,13277.0,32
1.33,1,Corte con disco de pavimento en concreto de 5 a 10 cm,m,17005.0,33
1.34,1,Corte con pulidora de muro en ladrillo,m,2981.0,34
1.35,1,Corte y retiro de árbol h> 3 m,Un,147158.0,35
1.36,1,Corte y retiro de arbusto,Un,13392.0,36
1.37,1,"Corte y retiro de raíz Ø= 4"" - 12""",m,8558.0,37
1.38,1,"Corte y retiro de raíz Ø= 12"" - 20""",m,27829.0,38
1.39,1,Demolición cabezas en concreto de pilas/ caisson,m3,503171.0,39
1.40,1,Demolición cabezas en concreto de pilotes Ø= 20 cm,m,20386.0,40
1.41,1,Demolición cabezas en concreto de pilotes Ø= 25 cm,m,27965.0,41
1.42,1,Demolición cabezas en concreto de pilotes Ø= 30 cm,m,30240.0,42
1.43,1,Demolición cabezas en concreto de pilotes Ø= 35 cm,m,32518.0,43
1.44,1,Demolición cabezas en concreto de pilotes Ø= 40 cm,m,40363.0,44
1.45,1,Demolición cabezas en concreto de pilotes Ø= 50 cm,m,48081.0,45
1.46,1,Demolición cabezas en concreto de pilotes Ø= 60 cm,m,55926.0,46
1.47,1,Demolición cabezas en concreto de pilotes Ø= 80 cm,m,71489.0,47
1.48,1,Demolición cabezas en concreto de pilotes Ø= 100 cm,m,84395.0,48
1.49,1,Demolición de columna en concreto,m3,579632.0,49
1.50,1,Demolición de escalera en concreto,m2,79929.0,50
1.51,1,Demolición de estructuras en concreto,m3,267118.0,51
1.52,1,Demolición de muro/ pantalla en concreto,m3,308273.0,52
1.53,1,Demolición de pavimento flexible e< 21 cm,m2,15247.0,53
1.54,1,Demolición de pavimento rígido e< 21 cm,m2,26484.0,54
1.55,1,Demolición de piso en adoquín,m2,21925.0,55
1.56,1,Demolición de placa aligerada e= 0.25 m,m2,74369.0,56
1.57,1,Demolición de placa aligerada e= 0.45 m,m2,82568.0,57
1.58,1,Demolición de placa maciza/ losa en concreto e= 0.10 m,m2,65477.0,58
1.59,1,Demolición de placa maciza/ losa en concreto e= 0.12 m,m2,78572.0,59
1.60,1,Demolición de placa maciza/ losa en concreto e= 0.15 m,m2,98215.0,60
1.61,1,Demolición de placa maciza/ losa en concreto e= 0.20 m,m2,103257.0,61
1.62,1,Demolición de placa maciza/ losa en concreto e= 0.30 m,m2,118230.0,62
1.63,1,Demolición de placa/ losa de cimentación en concreto,m3,336808.0,63
1.64,1,Demolición de viga en concreto,m3,579632.0,64
1.65,1,Demolición de zapata en concreto,m3,195837.0,65
1.66,1,Demolición manual de alfajía/ lagrimal en concreto,m,6990.0,66
1.67,1,Demolición manual de andén en concreto,m2,20386.0,67
1.68,1,Demolición manual de caja de inspección 30x30x50 cm,Un,7654.0,68
1.69,1,Demolición manual de caja de inspección 40x40x40 cm,Un,10193.0,69
1.70,1,Demolición manual de caja de inspección 50x50x50 cm,Un,12732.0,70
1.71,1,Demolición manual de caja de inspección 60x60x60 cm,Un,18342.0,71
1.72,1,Demolición manual de caja de inspección 80x80x80 cm,Un,32623.0,72
