orden,codigo,nombre
1,1,PRELIMINARES
2,2,MOVIMIENTO DE TIERRAS
3,3,CIMENTACIONES
4,4,ESTRUCTURAS EN CONCRETO
5,5,ESTRUCTURA METÁLICA
6,6,CUBIERTAS
7,7,MAMPOSTERÍA
8,8,PAÑETES (REVOQUES)
9,9,INSTALACIONES SANITARIAS
10,10,INSTALACIONES HIDRÁULICAS
11,11,SISTEMA DE PROTECCIÓN CONTRA INCENDIO
12,12,INSTALACIONES ELÉCTRICAS
13,13,INSTALACIÓN DE GAS
14,14,CIELOS RASOS
15,15,PISOS
16,16,ENCHAPES Y ACCESORIOS
17,17,APARATOS SANITARIOS
18,18,CARPINTERÍA METÁLICA
19,19,CARPINTERÍA DE MADERA
20,20,PINTURA
21,21,EQUIPOS ESPECIALES
22,22,OBRAS DE URBANISMO
23,22.63,ALCANTARILLADO
24,22.64,ANDENES y SARDINELES
25,22.65,DOTACIONES DEPORTIVAS
26,22.66,MOBILIARIO URBANO
27,22.67,SEÑALIZACIÓN
28,22.68,"VÍAS, BASES y SUB-BASES"
29,23,TANQUE ALMACENAMIENTO AGUA EN CONCRETO
30,24,CONSTRUCCIÓN CON BAMBÚ (GUADUA)
31,25,VIDRIOS Y ESPEJOS
32,26,REMATES
33,27,PERSONAL DE ADMINISTRACIÓN
34,28,OTROS
