auxiliar_descripcion,orden,grupo,tipo,insumo_descripcion,unidad,cantidad,precio_unitario,es_porcentaje
ANDAMIO TUBULAR CON TIJERA 1.50x1.50 m,1,EQUIPO Y HERRAMIENTAS,equipo,MARCO ANDAMIO DE TIJERA 1.50x1.50 m,Día,2.0,721.0,false
ANDAMIO TUBULAR CON TIJERA 1.50x1.50 m,2,EQUIPO Y HERRAMIENTAS,equipo,TIJERA DE ANDAMIO,Día,2.0,193.0,false
ANDAMIO TUBULAR CON TIJERA 1.50x1.50 m,3,EQUIPO Y HERRAMIENTAS,equipo,PLATAFORMA METÁLICA PARA ANDAMIO,Día,1.0,3470.0,false
"CARRETA BUGGIE, PALA, BALDES",1,EQUIPO Y HERRAMIENTAS,equipo,CARRETA LLANTA NEUMÁTICA,Un,1.0,354062.0,false
"CARRETA BUGGIE, PALA, BALDES",2,EQUIPO Y HERRAMIENTAS,equipo,PALA REDONDA CON CABO,Un,1.0,39378.0,false
"CARRETA BUGGIE, PALA, BALDES",3,EQUIPO Y HERRAMIENTAS,equipo,BALDE CONSTRUCCIÓN,Un,2.0,7080.0,false
"CARRETA BUGGIE, PALA, ZAPAPICO",1,EQUIPO Y HERRAMIENTAS,equipo,CARRETA LLANTA NEUMÁTICA,Un,1.0,354062.0,false
"CARRETA BUGGIE, PALA, ZAPAPICO",2,EQUIPO Y HERRAMIENTAS,equipo,PALA REDONDA CON CABO,Un,1.0,39378.0,false
"CARRETA BUGGIE, PALA, ZAPAPICO",3,EQUIPO Y HERRAMIENTAS,equipo,ZAPAPICO,Un,1.0,68047.0,false
HERRAMIENTAS PARA ALBAÑIL,1,EQUIPO Y HERRAMIENTAS,equipo,ALMADANA 4 lb,Un,1.0,56266.0,false
HERRAMIENTAS PARA ALBAÑIL,2,EQUIPO Y HERRAMIENTAS,equipo,"CINCEL 3/4"" ACERO TEMPLADO",Un,1.0,34781.0,false
HERRAMIENTAS PARA ALBAÑIL,3,EQUIPO Y HERRAMIENTAS,equipo,PALUSTRE,Un,1.0,16220.0,false
HERRAMIENTAS PARA ALBAÑIL,4,EQUIPO Y HERRAMIENTAS,equipo,CINTA MÉTRICA x 5 m,Un,1.0,22090.0,false
HERRAMIENTAS PARA ALBAÑIL,5,EQUIPO Y HERRAMIENTAS,equipo,NIVEL DE BURBUJA,Un,1.0,51165.0,false
HERRAMIENTAS PARA ALBAÑIL,6,EQUIPO Y HERRAMIENTAS,equipo,MANGUERA DE NIVEL x 10 m,Un,1.0,5692.0,false
HERRAMIENTAS PARA ALBAÑIL,7,EQUIPO Y HERRAMIENTAS,equipo,PLOMADA,Un,1.0,21525.0,false
HERRAMIENTAS PARA ALBAÑIL,8,EQUIPO Y HERRAMIENTAS,equipo,MARCO SEGUETA FIJO,Un,1.0,34434.0,false
HERRAMIENTAS PARA ALBAÑIL,9,EQUIPO Y HERRAMIENTAS,equipo,SERRUCHO,Un,1.0,43269.0,false
HERRAMIENTAS PARA ALBAÑIL,10,EQUIPO Y HERRAMIENTAS,equipo,MARTILLO,Un,1.0,40297.0,false
HERRAMIENTAS PARA ALBAÑIL,11,EQUIPO Y HERRAMIENTAS,equipo,"LIMA PLANA PARA USO GENERAL CON MANGO 8""",Un,1.0,25863.0,false
HERRAMIENTAS PARA CARPINTERO,1,EQUIPO Y HERRAMIENTAS,equipo,CINTA MÉTRICA x 5 m,Un,1.0,22090.0,false
HERRAMIENTAS PARA CARPINTERO,2,EQUIPO Y HERRAMIENTAS,equipo,NIVEL DE BURBUJA,Un,1.0,51165.0,false
HERRAMIENTAS PARA CARPINTERO,3,EQUIPO Y HERRAMIENTAS,equipo,SERRUCHO,Un,1.0,43269.0,false
HERRAMIENTAS PARA CARPINTERO,4,EQUIPO Y HERRAMIENTAS,equipo,MARTILLO,Un,1.0,40297.0,false
HERRAMIENTAS PARA CARPINTERO,5,EQUIPO Y HERRAMIENTAS,equipo,DESTORNILLADOR,Un,2.0,18035.0,false
HERRAMIENTAS PARA CARPINTERO,6,EQUIPO Y HERRAMIENTAS,equipo,"CEPILLO 9¾"" 12-174 GLOBAL CORRUGADO ACERO",Un,1.0,199576.0,false
HERRAMIENTAS PARA CARPINTERO,7,EQUIPO Y HERRAMIENTAS,equipo,"LIMA PLANA PARA USO GENERAL CON MANGO 8""",Un,1.0,25863.0,false
HERRAMIENTAS PARA ELECTRICISTA,1,EQUIPO Y HERRAMIENTAS,equipo,ALICATE,Un,1.0,49584.0,false
HERRAMIENTAS PARA ELECTRICISTA,2,EQUIPO Y HERRAMIENTAS,equipo,ALICATE DE PUNTA LARGA,Un,1.0,49583.0,false
HERRAMIENTAS PARA ELECTRICISTA,3,EQUIPO Y HERRAMIENTAS,equipo,ALICATE CORTA FRÍO,Un,1.0,60051.0,false
HERRAMIENTAS PARA ELECTRICISTA,4,EQUIPO Y HERRAMIENTAS,equipo,PELACABLES,Un,1.0,25518.0,false
HERRAMIENTAS PARA ELECTRICISTA,5,EQUIPO Y HERRAMIENTAS,equipo,DESTORNILLADOR,Un,2.0,18035.0,false
HERRAMIENTAS PARA ELECTRICISTA,6,EQUIPO Y HERRAMIENTAS,equipo,DETECTOR DE VOLTAJE,Un,1.0,24188.0,false
HERRAMIENTAS PARA ELECTRICISTA,7,EQUIPO Y HERRAMIENTAS,equipo,MULTÍMETRO DIGITAL,Un,1.0,85999.0,false
HERRAMIENTAS PARA HERRERO,1,EQUIPO Y HERRAMIENTAS,equipo,CINTA MÉTRICA x 5 m,Un,1.0,22090.0,false
HERRAMIENTAS PARA HERRERO,2,EQUIPO Y HERRAMIENTAS,equipo,MARCO SEGUETA FIJO,Un,1.0,34434.0,false
HERRAMIENTAS PARA HERRERO,3,EQUIPO Y HERRAMIENTAS,equipo,DOBLADORA DE ESTRIBOS MANUAL,Un,1.0,177912.0,false
HERRAMIENTAS PARA HERRERO,4,EQUIPO Y HERRAMIENTAS,equipo,YUNQUE,Un,1.0,112351.0,false
HERRAMIENTAS PARA HERRERO,5,EQUIPO Y HERRAMIENTAS,equipo,AMARRADOR DE VARILLA,Un,2.0,18975.0,false
HERRAMIENTAS PARA HERRERO,6,EQUIPO Y HERRAMIENTAS,equipo,CEPILLO DE ALAMBRE,Un,2.0,31851.0,false
HERRAMIENTAS PARA PINTOR,1,EQUIPO Y HERRAMIENTAS,equipo,"ESPÁTULA DE METAL 4""",Un,1.0,24123.0,false
HERRAMIENTAS PARA PINTOR,2,EQUIPO Y HERRAMIENTAS,equipo,"LLANA METÁLICA LISA MANGO MADERA 11"" x 5 """,Un,1.0,31578.0,false
HERRAMIENTAS PARA PINTOR,3,EQUIPO Y HERRAMIENTAS,equipo,BANDEJA PLÁSTICA PARA PINTURA,Un,1.0,14647.0,false
HERRAMIENTAS PARA PINTOR,4,EQUIPO Y HERRAMIENTAS,equipo,"BROCHA 2""",Un,1.0,9096.0,false
HERRAMIENTAS PARA PINTOR,5,EQUIPO Y HERRAMIENTAS,equipo,"BROCHA 4""",Un,1.0,18680.0,false
HERRAMIENTAS PARA PINTOR,6,EQUIPO Y HERRAMIENTAS,equipo,RODILLO FELPA PARA PINTURA,Un,1.0,16983.0,false
HERRAMIENTAS PARA PINTOR,7,EQUIPO Y HERRAMIENTAS,equipo,ALARGADOR RODILLO PINTURA,Un,1.0,67051.0,false
HERRAMIENTAS PARA PINTOR,8,EQUIPO Y HERRAMIENTAS,equipo,CINTA MÉTRICA x 5 m,Un,1.0,22090.0,false
HERRAMIENTAS PARA PLOMERO,1,EQUIPO Y HERRAMIENTAS,equipo,"LLAVE EXPANSIÓN 12""",Un,1.0,87324.0,false
HERRAMIENTAS PARA PLOMERO,2,EQUIPO Y HERRAMIENTAS,equipo,"LLAVE STILLSON 12""",Un,1.0,97472.0,false
HERRAMIENTAS PARA PLOMERO,3,EQUIPO Y HERRAMIENTAS,equipo,"ALICATE ARTICULADO PICO LORO 10""",Un,1.0,90970.0,false
HERRAMIENTAS PARA PLOMERO,4,EQUIPO Y HERRAMIENTAS,equipo,ALICATE HOMBRESOLO,Un,1.0,44952.0,false
