descripcion,unidad,tipo,precio_unitario,es_auxiliar
"ABRAZADERA TIPO PERA METÁLICA Ø= 1 1/2""",Un,material,2880.0,false
"ABRAZADERA TIPO PERA METÁLICA Ø= 1 1/4""",Un,material,2336.0,false
"ABRAZADERA TIPO PERA METÁLICA Ø= 2 1/2""",Un,material,4920.0,false
"ABRAZADERA TIPO PERA METÁLICA Ø= 2""",Un,material,3120.0,false
"ABRAZADERA TIPO PERA METÁLICA Ø= 3""",Un,material,6000.0,false
"ABRAZADERA TIPO PERA METÁLICA Ø= 4""",Un,material,6840.0,false
ACARREO MATERIALES PÉTREOS-TIERRA-VARIOS,m3-Km,transporte,2554.0,true
ACERO DRAMIX MALLA EN BOLSA L= 60 mm,Kg,material,15000.0,false
ACERO Fy= 240 MPa,Kg,material,5500.0,false
ACERO Fy= 420 MPa,Kg,material,5500.0,false
ACERO PARA ESTRUCTURA METÁLICA,Kg,material,7396.02,false
"ACOPLE LAVAMANOS/ LAVAPLATOS PLÁSTICO 1/2""",Un,material,6400.0,false
"ACOPLE LAVAMANOS/ LAVAPLATOS PLÁSTICO 1/2"" CON VÁLVULA DE REGULACIÓN",Un,material,19900.0,false
"ACOPLE RANURADO HIERRO DÚCTIL SCH 40 1 1/2""",Un,material,3487.0,false
"ACOPLE RANURADO HIERRO DÚCTIL SCH 40 1 1/4""",Un,material,2945.0,false
"ACOPLE RANURADO HIERRO DÚCTIL SCH 40 1""",Un,material,2397.0,false
"ACOPLE RANURADO HIERRO DÚCTIL SCH 40 1/2""",Un,material,2333.0,false
"ACOPLE RANURADO HIERRO DÚCTIL SCH 40 2 1/2""",Un,material,4200.0,false
"ACOPLE RANURADO HIERRO DÚCTIL SCH 40 2""",Un,material,4031.0,false
"ACOPLE RANURADO HIERRO DÚCTIL SCH 40 3""",Un,material,4365.0,false
"ACOPLE RANURADO HIERRO DÚCTIL SCH 40 3/4""",Un,material,2364.0,false
"ACOPLE RANURADO HIERRO DÚCTIL SCH 40 4""",Un,material,6952.0,false
"ACOPLE SANITARIO DE ACERO 1/2""",Un,material,23900.0,false
"ACOPLE SANITARIO PLÁSTICO 1/2""",Un,material,5900.0,false
"ACOPLE SANITARIO PLÁSTICO 1/2"" CON VÁLVULA DE REGULACIÓN",Un,material,19900.0,false
"ACOPLE UNIVERSAL 2"" ALUMINIO BOMBA",Un,material,87757.0,false
"ACOPLE UNIVERSAL 3"" ALUMINIO BOMBA",Un,material,129919.0,false
ACPM,Gal,material,10864.0,false
"ADAPTADOR DE LIMPIEZA PVC 2""",Un,material,9736.0,false
"ADAPTADOR DE LIMPIEZA PVC 3""",Un,material,20934.0,false
"ADAPTADOR DE LIMPIEZA PVC 4""",Un,material,31123.0,false
"ADAPTADOR DE LIMPIEZA PVC 6""",Un,material,81015.0,false
"ADAPTADOR DE LIMPIEZA PVC 8""",Un,material,1028513.0,false
"ADAPTADOR HEMBRA COBRE 1/2""",Un,material,6311.0,false
"ADAPTADOR MACHO COBRE 1/2""",Un,material,4208.0,false
"ADAPTADOR MACHO COBRE 3/4""",Un,material,7158.0,false
